user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
DeMMO3_59	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__UBA6170 sp1	GCA_002840735.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__UBA6170 sp1	97.65	0.83	GCA_002840735.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__UBA6170 sp1	97.65	0.83	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO3_41	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA4781;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO3_29	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__RBG-16-57-11;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO3_51	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO3_53	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO3_79	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO3_61	d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__SC72;f__GCA-002793355;g__GCA-002793355;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO3_57	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA10105;f__UBA927;g__XYB1-FULL-47-11;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO3_28	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__UBA12405;g__UBA12158;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO3_54	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__Collierbacteraceae;g__UBA10133;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
