user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
DeMMO1_13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Variovorax;s__Variovorax paradoxus_B	GCF_001399555.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Variovorax;s__Variovorax paradoxus_B	97.57	0.91	GCF_001399555.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Variovorax;s__Variovorax paradoxus_B	97.57	0.91	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900115375.1, s__, 95.14, 0.86
DeMMO1_10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp5	GCF_000155575.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp5	99.49	0.97	GCF_000155575.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp5	99.49	0.97	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO1_1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__GCF_000510915.2	GCF_000510915.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	99.36	0.83	GCF_000510915.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	99.36	0.83	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO1_22	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__UBA9983;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_18	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_16	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO1_11	d__Bacteria;p__Patescibacteria;c__ABY1;o__Uhrbacterales;f__2-12-FULL-60-25;g__2-12-FULL-60-25;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_23	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA1544;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_9	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA1572;f__UBA1572;g__um-filter-44-12;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_14	d__Bacteria;p__UBA9089;c__UBA9088;o__UBA9088;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
