user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
DeMMO4_25	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Acidovorax;s__	GCA_001770675.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Acidovorax;s__	97.33	0.95	N/A	N/A	N/A	N/A	ANI/Placement	topological placement and ANI have incongruent species assignments	GCF_001411535.1, s__, 96.76, 0.91; GCA_001897585.1, s__, 96.54, 0.93
DeMMO4_13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__Dechlorosoma;s__Dechlorosoma suillum	GCF_000236665.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__Dechlorosoma;s__Dechlorosoma suillum	98.01	0.86	GCF_000236665.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__Dechlorosoma;s__Dechlorosoma suillum	98.01	0.86	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO4_37	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp5	GCF_000155575.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp5	98.0	0.85	GCF_000155575.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp5	98.0	0.85	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO4_8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	GCA_002862825.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	96.96	0.63	N/A	N/A	N/A	N/A	ANI/Placement	topological placement and ANI have incongruent species assignments	GCF_001610975.1, s__Sphingopyxis terrae_A, 96.23, 0.78; GCF_900177755.1, s__Sphingopyxis ummariensis, 95.92, 0.74; GCF_001468495.1, s__, 95.82, 0.79; GCF_001598815.1, s__Sphingopyxis terrae, 95.6, 0.77
DeMMO4_39	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__GCA_001770775.1	GCA_001770775.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__	97.19	0.58	GCA_001770775.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__	97.19	0.58	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO4_24	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__GCA_001770775.1	GCA_001770775.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__	97.44	0.79	GCA_001770775.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__	97.44	0.79	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO4_12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__GCA_001770725.1	GCA_001770725.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__	99.39	0.93	GCA_001770725.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__	99.39	0.93	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO4_41	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Acidovorax;s__	GCA_001770675.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Acidovorax;s__	96.76	0.85	GCF_001411535.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Acidovorax;s__	96.33	0.86	ANI/Placement	topological placement and ANI have incongruent species assignments	GCA_001897585.1, s__, 96.36, 0.86
DeMMO4_40	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA7937;f__UBA7937;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO4_23	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__Jorgensenbacteraceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO4_32	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO4_35	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GBS-2;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO4_21	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GBS-2;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO4_22	d__Bacteria;p__Patescibacteria;c__ABY1;o__GCA-002771165;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
